country,SA,STR,Budget_Signal,Blocking_Constraint,EX,Predicted_Level,priority
Albania,0,0,0,1,0,1,Delayed
Algeria,0,0,0,1,0,1,Delayed
Angola,0,0,0,1,0,1,Delayed
Armenia,0,0,0,0,0,1,Low Priority
Australia,1,1,1,0,1,3,Focus
Azerbaijan,1,0,0,0,0,2,Nurture
Bahrain,1,1,1,0,1,3,Focus
Bangladesh,0,0,0,1,0,1,Delayed
Belgium,1,1,1,0,1,3,Focus
Benin,0,0,0,1,0,1,Delayed
Bolivia,0,0,0,1,0,1,Delayed
Botswana,0,0,0,0,0,1,Low Priority
Brazil,1,1,0,0,0,2,Nurture
Brunei,1,1,1,0,1,3,Focus
Bulgaria,1,1,0,0,0,2,Nurture
Cambodia,0,0,0,1,0,1,Delayed
Cameroon,0,0,0,1,0,1,Delayed
Canada,1,1,1,0,1,3,Focus
CAR,0,0,0,1,0,1,Delayed
Colombia,1,1,0,0,0,2,Nurture
Comoros,0,0,0,1,0,1,Delayed
Costa Rica,1,1,0,0,0,2,Nurture
Côte d'Ivoire,0,0,0,1,0,1,Delayed
Croatia,1,1,0,0,0,2,Nurture
Cuba,0,0,0,1,0,1,Delayed
Cyprus,1,1,0,0,0,2,Nurture
Czech Republic,1,1,0,0,0,2,Nurture
Denmark,1,1,1,0,1,3,Focus
Ecuador,0,0,0,0,0,1,Low Priority
Egypt,1,1,0,0,0,2,Nurture
Estonia,1,1,1,0,1,3,Focus
Ethiopia,0,0,0,1,0,1,Delayed
Georgia,1,1,0,0,0,2,Nurture
Greece,1,1,0,0,0,2,Nurture
Guinea,0,0,0,1,0,1,Delayed
Hong Kong,1,1,1,0,1,3,Focus
India,1,1,1,0,1,3,Focus
Indonesia,1,1,0,0,0,2,Nurture
Iraq,0,0,0,1,0,1,Delayed
Ireland,1,1,1,0,1,3,Focus
Israel,1,1,1,0,1,3,Focus
Jordan,1,0,0,0,0,2,Nurture
Kazakhstan,1,1,0,0,0,2,Nurture
Kenya,1,0,0,0,0,2,Nurture
Kuwait,1,1,1,0,1,3,Focus
Kyrgyzstan,0,0,0,1,0,1,Delayed
Laos,0,0,0,1,0,1,Delayed
Lebanon,1,0,0,1,0,2,Delayed
Malawi,0,0,0,1,0,1,Delayed
Malaysia,1,1,0,0,0,2,Nurture
Maldives,0,0,0,0,0,1,Low Priority
Mauritius,1,1,0,0,0,2,Nurture
Mexico,1,1,0,0,0,2,Nurture
Moldova,0,0,0,0,0,1,Low Priority
Mongolia,0,0,0,0,0,1,Low Priority
Montenegro,0,0,0,0,0,1,Low Priority
Morocco,1,1,0,0,0,2,Nurture
Myanmar,0,0,0,1,0,1,Delayed
Namibia,0,0,0,0,0,1,Low Priority
Norway,1,1,1,0,1,3,Focus
Oman,1,1,1,0,1,3,Focus
Pakistan,1,0,0,0,0,2,Nurture
Panama,1,1,0,0,0,2,Nurture
Philippines,1,0,0,0,0,2,Nurture
Poland,1,1,0,0,0,2,Nurture
Qatar,1,1,1,0,1,3,Focus
Romania,1,1,0,0,0,2,Nurture
Rwanda,0,0,0,1,0,1,Delayed
Saudi Arabia,1,1,1,0,1,3,Focus
Serbia,0,0,0,0,0,1,Low Priority
Sierra Leone,0,0,0,1,0,1,Delayed
Singapore,1,1,1,0,1,3,Focus
Slovakia,1,1,0,0,0,2,Nurture
South Africa,1,1,0,0,0,2,Nurture
South Korea,1,1,1,0,1,3,Focus
Spain,1,1,1,0,1,3,Focus
Sri Lanka,0,0,0,1,0,1,Delayed
Tajikistan,0,0,0,1,0,1,Delayed
Thailand,1,1,0,0,0,2,Nurture
Togo,0,0,0,1,0,1,Delayed
Tunisia,1,0,0,0,0,2,Nurture
Turkey,1,1,0,0,0,2,Nurture
Turkmenistan,0,0,0,1,0,1,Delayed
UAE,1,1,1,0,1,3,Focus
Uganda,0,0,0,1,0,1,Delayed
Ukraine,1,1,0,0,0,2,Nurture
United Kingdom,1,1,1,0,1,3,Focus
Uruguay,1,1,0,0,0,2,Nurture
USA,1,1,1,0,1,3,Focus
Uzbekistan,1,0,1,0,1,2,Nurture
Venezuela,0,0,0,1,0,1,Delayed
Vietnam,0,0,0,1,0,1,Delayed
