country,SA,STR,Budget_Signal,Blocking_Constraint
Albania,0,0,0,1
Algeria,0,0,0,1
Angola,0,0,0,1
Armenia,0,0,0,0
Australia,1,1,1,0
Azerbaijan,1,0,0,0
Bahrain,1,1,1,0
Bangladesh,0,0,0,1
Belgium,1,1,1,0
Benin,0,0,0,1
Bolivia,0,0,0,1
Botswana,0,0,0,0
Brazil,1,1,0,0
Brunei,1,1,1,0
Bulgaria,1,1,0,0
Cambodia,0,0,0,1
Cameroon,0,0,0,1
Canada,1,1,1,0
CAR,0,0,0,1
Colombia,1,1,0,0
Comoros,0,0,0,1
Costa Rica,1,1,0,0
Cote d'Ivoire,0,0,0,1
Croatia,1,1,0,0
Cuba,0,0,0,1
Cyprus,1,1,0,0
Czech Republic,1,1,0,0
Denmark,1,1,1,0
Ecuador,0,0,0,0
Egypt,1,1,0,0
Estonia,1,1,1,0
Ethiopia,0,0,0,1
Georgia,1,1,0,0
Greece,1,1,0,0
Guinea,0,0,0,1
Hong Kong,1,1,1,0
India,1,1,1,0
Indonesia,1,1,0,0
Iraq,0,0,0,1
Ireland,1,1,1,0
Israel,1,1,1,0
Jordan,1,0,0,0
Kazakhstan,1,1,0,0
Kenya,1,0,0,0
Kuwait,1,1,1,0
Kyrgyzstan,0,0,0,1
Laos,0,0,0,1
Lebanon,1,0,0,1
Malawi,0,0,0,1
Malaysia,1,1,0,0
Maldives,0,0,0,0
Mauritius,1,1,0,0
Mexico,1,1,0,0
Moldova,0,0,0,0
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Morocco,1,1,0,0
Myanmar,0,0,0,1
Namibia,0,0,0,0
Norway,1,1,1,0
Oman,1,1,1,0
Pakistan,1,0,0,0
Panama,1,1,0,0
Philippines,1,0,0,0
Poland,1,1,0,0
Qatar,1,1,1,0
Romania,1,1,0,0
Rwanda,0,0,0,1
Saudi Arabia,1,1,1,0
Serbia,0,0,0,0
Sierra Leone,0,0,0,1
Singapore,1,1,1,0
Slovakia,1,1,0,0
South Africa,1,1,0,0
South Korea,1,1,1,0
Spain,1,1,1,0
Sri Lanka,0,0,0,1
Tajikistan,0,0,0,1
Thailand,1,1,0,0
Togo,0,0,0,1
Tunisia,1,0,0,0
Turkey,1,1,0,0
Turkmenistan,0,0,0,1
UAE,1,1,1,0
Uganda,0,0,0,1
Ukraine,1,1,0,0
United Kingdom,1,1,1,0
Uruguay,1,1,0,0
USA,1,1,1,0
Uzbekistan,1,0,1,0
Venezuela,0,0,0,1
Vietnam,0,0,0,1
